earner_id,city_id,date,trips_count,rides_distance_km,rides_duration_mins,rides_gross_fare,rides_net_earnings,rides_tips,orders_count,eats_distance_km,eats_duration_mins,eats_delivery_fee,eats_net_earnings,eats_tips,total_jobs,total_net_earnings,total_tips,week,estimated_active_hours,eph
E10000,4,2023-01-12,1,8.09,34,12.57,9.43,0.0,0,0.0,0,0.0,0.0,0.0,1,9.43,0.0,2023-W02,0.5,18.86
E10000,4,2023-01-13,1,12.9,40,28.76,21.57,0.0,0,0.0,0,0.0,0.0,0.0,1,21.57,0.0,2023-W02,0.5,43.14
E10000,4,2023-01-16,1,5.73,19,12.12,9.09,1.47,0,0.0,0,0.0,0.0,0.0,1,9.09,1.47,2023-W03,0.5,18.18
E10000,4,2023-01-22,1,4.88,29,8.99,6.74,0.0,0,0.0,0,0.0,0.0,0.0,1,6.74,0.0,2023-W03,0.5,13.48
E10000,4,2023-01-25,1,5.49,34,13.24,9.93,0.41,0,0.0,0,0.0,0.0,0.0,1,9.93,0.41,2023-W04,0.5,19.86
E10000,4,2023-01-29,1,6.81,35,15.57,11.68,0.0,0,0.0,0,0.0,0.0,0.0,1,11.68,0.0,2023-W04,0.5,23.36
E10000,4,2023-02-04,2,9.85,33,20.99,15.75,0.0,0,0.0,0,0.0,0.0,0.0,2,15.75,0.0,2023-W05,1.0,15.75
E10000,4,2023-02-08,1,8.13,39,15.07,11.3,0.0,0,0.0,0,0.0,0.0,0.0,1,11.3,0.0,2023-W06,0.5,22.6
E10000,4,2023-02-12,1,12.21,18,17.7,13.28,0.0,0,0.0,0,0.0,0.0,0.0,1,13.28,0.0,2023-W06,0.5,26.56
E10000,4,2023-02-23,2,16.93,40,35.85,26.89,0.0,0,0.0,0,0.0,0.0,0.0,2,26.89,0.0,2023-W08,1.0,26.89
E10000,4,2023-02-24,1,6.01,35,11.23,8.42,0.08,0,0.0,0,0.0,0.0,0.0,1,8.42,0.08,2023-W08,0.5,16.84
E10000,4,2023-03-16,1,4.62,39,8.73,6.55,0.0,0,0.0,0,0.0,0.0,0.0,1,6.55,0.0,2023-W11,0.5,13.1
E10000,4,2023-03-30,2,14.59,63,28.29,21.22,0.0,0,0.0,0,0.0,0.0,0.0,2,21.22,0.0,2023-W13,1.0,21.22
E10000,4,2023-03-31,1,5.98,31,10.92,8.19,0.0,0,0.0,0,0.0,0.0,0.0,1,8.19,0.0,2023-W13,0.5,16.38
E10000,4,2023-04-09,1,5.15,41,9.83,7.37,0.0,0,0.0,0,0.0,0.0,0.0,1,7.37,0.0,2023-W14,0.5,14.74
E10000,4,2023-04-17,1,6.86,15,19.59,14.69,0.0,0,0.0,0,0.0,0.0,0.0,1,14.69,0.0,2023-W16,0.5,29.38
E10000,4,2023-04-22,1,5.82,9,10.87,8.15,3.69,0,0.0,0,0.0,0.0,0.0,1,8.15,3.69,2023-W16,0.5,16.3
E10000,4,2023-04-23,1,7.99,16,13.04,9.78,0.0,0,0.0,0,0.0,0.0,0.0,1,9.78,0.0,2023-W16,0.5,19.56
E10000,4,2023-04-26,1,4.27,33,10.74,8.06,1.14,0,0.0,0,0.0,0.0,0.0,1,8.06,1.14,2023-W17,0.5,16.12
E10001,2,2023-01-11,1,5.25,25,10.42,7.82,0.0,0,0.0,0,0.0,0.0,0.0,1,7.82,0.0,2023-W02,0.5,15.64
E10001,2,2023-02-01,1,3.33,17,6.73,5.05,0.0,0,0.0,0,0.0,0.0,0.0,1,5.05,0.0,2023-W05,0.5,10.1
E10001,2,2023-02-04,1,5.01,28,9.63,7.22,0.0,0,0.0,0,0.0,0.0,0.0,1,7.22,0.0,2023-W05,0.5,14.44
E10001,2,2023-02-07,1,5.77,39,9.44,7.08,0.0,0,0.0,0,0.0,0.0,0.0,1,7.08,0.0,2023-W06,0.5,14.16
E10001,2,2023-02-13,1,7.81,14,14.34,10.76,0.0,0,0.0,0,0.0,0.0,0.0,1,10.76,0.0,2023-W07,0.5,21.52
E10001,2,2023-02-18,1,9.17,23,14.8,11.1,0.0,0,0.0,0,0.0,0.0,0.0,1,11.1,0.0,2023-W07,0.5,22.2
E10001,2,2023-02-27,1,8.12,8,16.4,12.3,0.0,0,0.0,0,0.0,0.0,0.0,1,12.3,0.0,2023-W09,0.5,24.6
E10001,2,2023-03-23,1,7.74,32,12.68,9.51,0.0,0,0.0,0,0.0,0.0,0.0,1,9.51,0.0,2023-W12,0.5,19.02
E10001,2,2023-04-06,1,2.79,9,5.94,4.46,0.0,0,0.0,0,0.0,0.0,0.0,1,4.46,0.0,2023-W14,0.5,8.92
E10001,2,2023-04-13,1,2.41,30,5.13,3.85,0.0,0,0.0,0,0.0,0.0,0.0,1,3.85,0.0,2023-W15,0.5,7.7
E10001,2,2023-04-18,1,5.76,34,9.55,7.16,0.0,0,0.0,0,0.0,0.0,0.0,1,7.16,0.0,2023-W16,0.5,14.32
E10001,2,2023-04-20,1,11.4,40,19.06,14.3,0.0,0,0.0,0,0.0,0.0,0.0,1,14.3,0.0,2023-W16,0.5,28.6
E10001,4,2023-01-19,1,2.35,7,5.74,4.3,0.0,0,0.0,0,0.0,0.0,0.0,1,4.3,0.0,2023-W03,0.5,8.6
E10001,5,2023-01-16,1,3.09,30,6.54,4.9,1.41,0,0.0,0,0.0,0.0,0.0,1,4.9,1.41,2023-W03,0.5,9.8
E10001,5,2023-04-03,1,8.47,11,19.54,14.66,0.0,0,0.0,0,0.0,0.0,0.0,1,14.66,0.0,2023-W14,0.5,29.32
E10002,1,2023-04-27,1,6.51,7,13.04,9.78,0.0,0,0.0,0,0.0,0.0,0.0,1,9.78,0.0,2023-W17,0.5,19.56
E10002,3,2023-01-26,1,9.27,37,15.34,11.5,0.0,0,0.0,0,0.0,0.0,0.0,1,11.5,0.0,2023-W04,0.5,23.0
E10002,5,2023-01-04,1,1.23,9,2.85,2.14,1.22,0,0.0,0,0.0,0.0,0.0,1,2.14,1.22,2023-W01,0.5,4.28
E10002,5,2023-01-08,1,2.68,42,4.92,3.69,0.0,0,0.0,0,0.0,0.0,0.0,1,3.69,0.0,2023-W01,0.5,7.38
E10002,5,2023-01-09,1,5.73,38,10.93,8.2,0.0,0,0.0,0,0.0,0.0,0.0,1,8.2,0.0,2023-W02,0.5,16.4
E10002,5,2023-01-16,2,12.26,78,23.31,17.48,0.0,0,0.0,0,0.0,0.0,0.0,2,17.48,0.0,2023-W03,1.0,17.48
E10002,5,2023-01-22,1,3.44,28,7.46,5.6,0.0,0,0.0,0,0.0,0.0,0.0,1,5.6,0.0,2023-W03,0.5,11.2
E10002,5,2023-01-23,1,5.82,20,14.27,10.7,0.0,0,0.0,0,0.0,0.0,0.0,1,10.7,0.0,2023-W04,0.5,21.4
E10002,5,2023-01-27,1,9.61,28,24.94,18.7,3.29,0,0.0,0,0.0,0.0,0.0,1,18.7,3.29,2023-W04,0.5,37.4
E10002,5,2023-01-28,1,8.37,8,13.91,10.43,4.32,0,0.0,0,0.0,0.0,0.0,1,10.43,4.32,2023-W04,0.5,20.86
E10002,5,2023-02-01,1,5.2,15,9.74,7.3,1.33,0,0.0,0,0.0,0.0,0.0,1,7.3,1.33,2023-W05,0.5,14.6
E10002,5,2023-02-03,1,7.17,14,11.73,8.8,0.57,0,0.0,0,0.0,0.0,0.0,1,8.8,0.57,2023-W05,0.5,17.6
E10002,5,2023-02-11,1,7.04,36,12.36,9.27,0.0,0,0.0,0,0.0,0.0,0.0,1,9.27,0.0,2023-W06,0.5,18.54
E10002,5,2023-02-13,1,1.94,30,4.55,3.41,0.0,0,0.0,0,0.0,0.0,0.0,1,3.41,0.0,2023-W07,0.5,6.82
E10002,5,2023-02-15,1,4.83,36,9.27,6.95,0.0,0,0.0,0,0.0,0.0,0.0,1,6.95,0.0,2023-W07,0.5,13.9
E10002,5,2023-02-21,1,1.2,26,3.31,2.48,0.35,0,0.0,0,0.0,0.0,0.0,1,2.48,0.35,2023-W08,0.5,4.96
E10002,5,2023-03-18,1,5.56,34,10.41,7.81,1.93,0,0.0,0,0.0,0.0,0.0,1,7.81,1.93,2023-W11,0.5,15.62
E10002,5,2023-03-20,1,3.65,36,6.85,5.14,0.0,0,0.0,0,0.0,0.0,0.0,1,5.14,0.0,2023-W12,0.5,10.28
E10002,5,2023-03-23,1,6.94,32,11.68,8.76,0.0,0,0.0,0,0.0,0.0,0.0,1,8.76,0.0,2023-W12,0.5,17.52
E10002,5,2023-03-24,1,3.91,41,6.8,5.1,0.0,0,0.0,0,0.0,0.0,0.0,1,5.1,0.0,2023-W12,0.5,10.2
E10002,5,2023-04-05,1,5.8,12,11.99,8.99,0.0,0,0.0,0,0.0,0.0,0.0,1,8.99,0.0,2023-W14,0.5,17.98
E10002,5,2023-04-16,1,5.81,19,9.83,7.37,0.0,0,0.0,0,0.0,0.0,0.0,1,7.37,0.0,2023-W15,0.5,14.74
E10003,3,2023-01-06,1,8.71,24,15.14,11.36,0.0,0,0.0,0,0.0,0.0,0.0,1,11.36,0.0,2023-W01,0.5,22.72
E10003,3,2023-01-07,1,4.12,12,7.95,5.96,4.03,0,0.0,0,0.0,0.0,0.0,1,5.96,4.03,2023-W01,0.5,11.92
E10003,3,2023-01-12,1,5.03,21,18.13,13.6,0.0,0,0.0,0,0.0,0.0,0.0,1,13.6,0.0,2023-W02,0.5,27.2
E10003,3,2023-01-21,1,7.7,24,15.35,11.51,0.0,0,0.0,0,0.0,0.0,0.0,1,11.51,0.0,2023-W03,0.5,23.02
E10003,3,2023-01-31,1,7.76,7,14.98,11.24,0.0,0,0.0,0,0.0,0.0,0.0,1,11.24,0.0,2023-W05,0.5,22.48
E10003,3,2023-02-01,1,6.65,28,11.4,8.55,0.0,0,0.0,0,0.0,0.0,0.0,1,8.55,0.0,2023-W05,0.5,17.1
E10003,3,2023-02-06,1,5.22,40,8.36,6.27,0.0,0,0.0,0,0.0,0.0,0.0,1,6.27,0.0,2023-W06,0.5,12.54
E10003,3,2023-02-09,1,8.61,17,15.82,11.86,0.0,0,0.0,0,0.0,0.0,0.0,1,11.86,0.0,2023-W06,0.5,23.72
E10003,3,2023-03-17,1,7.47,19,12.88,9.66,0.78,0,0.0,0,0.0,0.0,0.0,1,9.66,0.78,2023-W11,0.5,19.32
E10003,3,2023-03-19,1,9.32,9,15.82,11.86,0.91,0,0.0,0,0.0,0.0,0.0,1,11.86,0.91,2023-W11,0.5,23.72
E10003,3,2023-03-27,1,6.09,32,10.53,7.9,2.01,0,0.0,0,0.0,0.0,0.0,1,7.9,2.01,2023-W13,0.5,15.8
